
Список отсутствующих кодов.

     Коды работ по выпуску РД	 | 	Наименование объекта/комплекта РД
935	1&UUB.J.C00.D-1000	 | 	(11-19UUB). Система эксплуатационных радиотелефонов
936	1&UUB.J.C00.D-1020	 | 	(11-19UUB). Система общестанционной телефонной связи
937	1&UUB.J.CYB.D-1000	 | 	(11-19UUB). Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей
938	1&UUB.J.CYB.D-1010	 | 	(11-19UUB). Система оперативной громкоговорящей и телефонной связи
939	1&UUK.J.C00.D-1000	 | 	(11-12UUK). Система эксплуатационных радиотелефонов
940	10UAZ.J.C00.D-1000	 | 	Сети связи
941	10UAZ.J.CXV.D-1000	 | 	(10UAZ, 20UAZ). МПУ. Задание заводу (1 этап)
942	10UAZ.J.CXV.D-1010	 | 	(10UAZ, 20UAZ). МПУ. Программное обеспечение технических средств (2 этап)
943	10UAZ.J.CXV.D-1020	 | 	(10UAZ, 20UAZ). Внешние присоединения к МПУ
944	10UBA.J.C00.D-1000	 | 	Автоматизированная система виброконтроля и диагностики (АСВД)
945	10UBA.J.C00.D-1010	 | 	Автоматизированная система виброконтроля и диагностики (АСВД). Журнал контрольных кабелей
946	10UBA.J.C00.D-1030	 | 	Журнал кабелей питания стоек ПТС (24В) 2 группа
947	10UBA.J.C00.D-1040	 | 	Журнал кабелей питания стоек ПТС (24В) 3 группа
948	10UBA.J.C00.D-1050	 | 	Журнал кабелей сигнализации и диагностики. ПТК СКУ ТО
949	10UBA.J.C00.D-1060	 | 	Журнал кабелей системной шины. ПТК СКУ ТО
950	10UBA.J.C00.D-1070	 | 	Журнал контрольных кабелей ТТК
951	10UBA.J.C00.D-1080	 | 	Журнал контрольных кабелей ТТК ПТК СКУ ТО
952	10UBA.J.C00.D-1090	 | 	Журнал контрольных кабелей в части двигателей. ПТК СКУ ТО
953	10UBA.J.C00.D-1100	 | 	Журнал контрольных кабелей в части перемычек. ПТК СКУ ТО
954	10UBA.J.C00.D-1110	 | 	Журнал контрольных кабелей в части питания арматуры. ПТК СКУ ТО
955	10UBA.J.C00.D-1140	 | 	Журнал контрольных кабелей в части питания регулирующей арматурой ПТК СКУ ТО
956	10UBA.J.C00.D-1150	 | 	Журнал контрольных кабелей в части управления арматурой ПТК СКУ ТО
957	10UBA.J.C00.D-1170	 | 	Журнал контрольных кабелей в части управления регулирующей арматурой ПТК СКУ ТО
958	10UBA.J.C00.D-1190	 | 	Журнал контрольных кабелей перемычек в части управления запорной арматурой. ПТК СКУ ТО
959	10UBA.J.C00.D-1210	 | 	Журнал контрольных кабелей перемычек в части управления регулирующей арматурой. ПТК СКУ ТО
960	10UBA.J.C00.D-1230	 | 	Кабельные соединения датчиков ТТК
961	10UBA.J.C00.D-1250	 | 	ПТК В. ТО. Схема структурная комплекса технических средств
962	10UBA.J.C00.D-1260	 | 	Перечень измерительных контуров ТТК
963	10UBA.J.C00.D-1270	 | 	Присоединения к НКУ НЭ надежного электроснабжения
964	10UBA.J.C00.D-1280	 | 	Присоединения к НКУ НЭ ПТ
965	10UBA.J.C00.D-1300	 | 	Присоединения к кроссовым шкафам ПТК СКУ ТО. Аналоговые сигналы
966	10UBA.J.C00.D-1310	 | 	Присоединения кабелей к НКУ НЭ ТО
967	10UBA.J.C00.D-1320	 | 	Присоединения кабелей к НКУ ОДГ. Электродвигатели
968	10UBA.J.C00.D-1330	 | 	Присоединения кабелей к НКУ для питания электродвигателей здания UMA
969	10UBA.J.C00.D-1340	 | 	Присоединения кабелей к НКУ электронагревателей компенсатора давления (КД)
970	10UBA.J.C00.D-1350	 | 	Присоединения кабелей к НКУ. Электродвигатели
971	10UBA.J.C00.D-1360	 | 	СКУ В. ПТК В. Внешние подключения к МПУ
972	10UBA.J.C00.D-1400	 | 	Трубные соединения датчиков ТТК
973	10UBA.J.C00.D-1410	 | 	Шкафы формирования дискретной и аналоговой информации в АЗ-ПЗ. Таблицы внешних подключений
974	10UBA.J.C00.D-1480	 | 	МПУ. Журнал контрольных кабелей
975	10UBA.J.C00.D-1490	 | 	МПУ. Журнал силовых кабелей
976	10UBA.J.C00.D-1500	 | 	МПУ. Перечень объектов управления. Запорная арматура
977	10UBA.J.C00.D-1510	 | 	МПУ. Перечень объектов управления. Механизмы
978	10UBA.J.C00.D-1520	 | 	МПУ. Перечень объектов управления. Регулирующая арматура
979	10UBA.J.C00.D-1530	 | 	МПУ. Схемы внешних подключений к сборкам 0,38 кВ
980	10UBA.J.C00.D-1540	 | 	МПУ. Схемы заполнения сборок 0.38 кВ
981	10UBA.J.C00.D-1550	 | 	Схемы питания МПУ вторичных преобразователей КИП
982	10UBA.J.C00.D-1560	 | 	Схемы подключения кабелей к шкафам МПУ вторичных преобразователей КИП
983	10UBA.J.C00.D-1600	 | 	Присоединения к ПТС ПТК СКУ ТО
984	10UBA.J.C00.D-1620	 | 	Задание заводу на НКУ НЭ надежное электроснабжение
985	10UBA.J.C00.D-1640	 | 	Присоединения к НКУ НЭ В
986	10UBA.J.C00.D-1650	 | 	Задание заводу на НКУ НЭ ТО
987	10UBA.J.C00.D-1890	 | 	Шкафы формирования дискретной и аналоговой информации в АЗ-ПЗ. Задание заводу
988	10UBA.J.C00.D-3020	 | 	Задание заводу на НКУ НЭ ПТ
989	10UBA.J.C00.D-3250	 | 	Задание заводу на НКУ НЭ В
990	10UBA.J.C00.D-3260	 | 	ПТК СКУ ТО. Исходные данные для задания заводу на изготовления
991	10UBA.J.C00.D-3270	 | 	МПУ. Задание заводу на сборки 0.38 кВ
992	10UBA.J.C00.D-3280	 | 	Задание заводу на МПУ вторичных преобразователей КИП
993	10UBA.J.C00.D-3290	 | 	Журнал контрольных кабелей в части перемычек КСДА
994	10UBA.J.C00.D-3300	 | 	МПУ. Системы вентиляции 10UJA. Схемы заполнения сборок 0.38 кВ
995	10UBA.J.C00.D-3310	 | 	МПУ. Системы вентиляции 10UJA. Задание заводу на сборки 0.38 кВ
996	10UBA.J.CA0.D-1010	 | 	КРУ 0.4 кВ. ЩПТ. ПТК СКУ ЭЧ ЭБ. Таблицы внешних подключений
997	10UBA.J.CA0.D-1020	 | 	ПТК СКУ ЭЧ ЭБ. Журнал кабелей от электрооборудования
998	10UBA.J.CA0.D-1030	 | 	КРУ 10 кВ. ПТК СКУ ЭЧ ЭБ. Таблицы внешних подключений
999	10UBA.J.CA0.D-1040	 | 	ПТК СКУ ЭЧ ЭБ. Журнал кабелей питания
1000	10UBA.J.CA0.D-1080	 | 	ПТК СКУ ЭЧ ЭБ. Журнал внутрисистемных кабелей
1001	10UBA.J.CA0.D-1090	 | 	ПТК СКУ ЭЧ ЭБ. Схема структурная комплекса технических средств
1002	10UBA.J.CA0.D-1110	 | 	Энергоблок. ПТК СКУ ЭЧ ЭБ. Таблицы внешних подключений
1003	10UBA.J.CMG.D-1040	 | 	СКУ ПЗ. Газовое пожаротушение
1004	10UBA.J.CMG.D-1050	 | 	СКУ ПЗ. Газовое пожаротушение. Журнал контрольных кабелей
1005	10UBA.J.CMS.D-1020	 | 	СКУ ПЗ. Автоматическое пожаротушение тонкораспыленной водой. Журнал контрольных кабелей
1006	10UBA.J.CY0.D-1000	 | 	Система оперативной громкоговорящей и телефонной связи. Журнал контрольных кабелей
1007	10UBA.J.CY0.D-1010	 | 	Система оповещения и поиска персонала. Журнал контрольных кабелей
1008	10UBA.J.CY0.D-1020	 | 	Система проводного радиотрансляционного вещания. Журнал контрольных кабелей
1009	10UBA.J.CY0.D-1030	 | 	Система часофикации. Журнал контрольных кабелей
1010	10UBA.J.CY0.D-1040	 | 	Система эксплуатационных радиотелефонов. Журнал контрольных кабелей
1011	10UBA.J.CY0.D-1050	 | 	Система общестанционной телефонной связи. Журнал контрольных кабелей
1012	10UBA.J.CYA.D-1000	 | 	Система общестанционной телефонной связи
1013	10UBA.J.CYB.D-1010	 | 	Система оперативной громкоговорящей и телефонной связи
1014	10UBA.J.CYC.D-1000	 | 	Система оповещения и поиска персонала
1015	10UBA.J.CYE.D-1000	 | 	СКУ ПЗ. Пожарная сигнализация
1016	10UBA.J.CYE.D-1010	 | 	СКУ ПЗ Автоматическое пожаротушение тонко распыленной водой
1017	10UBA.J.CYE.D-1020	 | 	СКУ ПЗ. Автоматическое пожаротушение тонко распыленной водой. Журнал силовых кабелей
1018	10UBA.J.CYE.D-1030	 | 	СКУ ПЗ Системы вентиляции
1019	10UBA.J.CYE.D-1060	 | 	СКУ ПЗ. Журнал контрольных кабелей
1020	10UBA.J.CYE.D-1070	 | 	СКУ ПЗ. Задание на программное обеспечение технических средств СКУ ПЗ
1021	10UBA.J.CYE.D-1080	 | 	СКУ ПЗ. Оповещение о пожаре
1022	10UBA.J.CYE.D-1090	 | 	СКУ ПЗ. Схемы заполнения, внешние присоединения к НКУ
1023	10UBA.J.CYE.D-1360	 | 	СКУ ПЗ. Задание заводу на сборки 0.38 кВ
1024	10UBA.J.CYF.D-1001	 | 	Система часофикации
1025	10UBA.J.CYN.D-1010	 | 	Система проводного радиотрансляционного вещания
1026	10UBA.J.CYY.D-1000	 | 	Система эксплуатационных радиотелефонов
1027	10UBA.T.QKC.D-2030	 | 	Трубопроводы системы холодоснабжения
1028	10UBA.T.QKC.D-2040	 | 	Чертежи кондиционирования
1029	10UBA.T.QKC.D-2050	 | 	Трубопроводы системы холодоснабжения. Задание заводу
1030	10UBA.T.SBC.D-2020	 | 	Трубопроводы системы теплоснабжения
1031	10UBA.T.SBC.D-2060	 | 	Трубопроводы системы теплоснабжения. Задание заводу
1032	10UBF.J.CR0.D-1000	 | 	Блочные трансформаторы 10BAT. СКУ ПЗ. Автоматическое пожаротушение
1033	10UBF.J.CR0.D-1010	 | 	Блочные трансформаторы 10BAT. СКУ ПЗ. Кабельные журналы
1034	10UBF.J.CY0.D-1050	 | 	Блочные трансформаторы 10BAT. СКУ ПЗ. Задание заводу на контроллеры
1035	10UBF.J.CY0.D-1060	 | 	Промышленное телевидение
1036	10UBF.J.CY0.D-1070	 | 	Блочные трансформаторы 10BAT. СКУ ПЗ. Пожарная сигнализация
